"genes"	"modules"
"PON3"	"M1"
"SCGB3A1"	"M1"
"SLC6A8"	"M1"
"SDPR"	"M1"
"MMP7"	"M2"
"PRC1"	"M1"
"ME1"	"M4"
"AKR1C2"	"M4"
"LIPH"	"M1"
"COL15A1"	"M3"
"LPL"	"M1"
"SCEL"	"M1"
"PDK4"	"M1"
"TGFA"	"Not.Correlated"
"SPON1"	"M1"
"SPDEF"	"M1"
"ROS1"	"M1"
"FOXJ1"	"M2"
"B3GNT3"	"Not.Correlated"
"CLIC2"	"M1"
"EPPK1"	"Not.Correlated"
"MYBL2"	"M1"
"GLB1L2"	"M1"
"OLFML3"	"M1"
"COL10A1"	"M3"
"AQP4"	"M1"
"ETV1"	"M1"
"CDK1"	"M1"
"PLEKHB1"	"M1"
"EFNA5"	"M1"
"MYO15B"	"M1"
"HIST2H2BE"	"M2"
"CYP4B1"	"M1"
"ALPK3"	"M2"
"TESC"	"M4"
"AKAP12"	"M1"
"ANGPTL4"	"M1"
"F2RL1"	"M1"
"DUSP5"	"Not.Correlated"
"TREM1"	"M1"
"TSPAN8"	"M4"
"ATP2C2"	"M1"
"FOXM1"	"M1"
"ASAP2"	"M1"
"AGR3"	"M1"
"LOC441869"	"M1"
"TMPRSS13"	"Not.Correlated"
"ERAP2"	"Not.Correlated"
"GNG11"	"M4"
"LOXL2"	"M3"
"PLCH1"	"M1"
"UBD"	"M1"
"SPAG5"	"M1"
"PPM1H"	"M1"
"MFSD2A"	"M1"
"TUSC3"	"M1"
"ITGBL1"	"M1"
"COL8A1"	"M3"
"KIAA1199"	"M3"
"PGC"	"M1"
"PHLDA2"	"M3"
"GULP1"	"M4"
"MAP2"	"M4"
"ENPP5"	"M1"
"RIMKLB"	"Not.Correlated"
"SLC7A11"	"M4"
"MFSD4"	"M1"
"TPSB2"	"M1"
"PER3"	"M2"
"IL8"	"M1"
"KCNN4"	"M2"
"DEPDC6"	"M1"
"IFIT1"	"M2"
"CSF3R"	"M1"
"B4GALNT3"	"M1"
"FAM83E"	"M1"
"CRLF1"	"M1"
"COBL"	"M1"
"RAMP1"	"Not.Correlated"
"F13A1"	"M2"
"C5orf4"	"M1"
"COL14A1"	"M1"
"RND3"	"M1"
"SLC4A4"	"M1"
"IFI44"	"M2"
"DOCK5"	"M1"
"PLCXD1"	"Not.Correlated"
"AG2"	"M1"
"VSIG4"	"M2"
"KRT17"	"M4"
"THNSL2"	"Not.Correlated"
"CCDC64B"	"M1"
"DMBT1"	"M1"
"SLAMF7"	"M2"
"FGFR3"	"M1"
"TFF3"	"Not.Correlated"
"APOD"	"M1"
"MCF2L"	"Not.Correlated"
"TNXB"	"M1"
"TNFRSF19"	"M1"
"IGSF9"	"M1"
"PITPNC1"	"M1"
"KIAA1244"	"M1"
"CLMN"	"M1"
"CXCL14"	"M1"
"DNALI1"	"M1"
"OBSCN"	"M1"
"SLC22A3"	"M1"
"WNT5A"	"M1"
"PTGES"	"Not.Correlated"
"C15orf48"	"M1"
"TSPYL5"	"Not.Correlated"
"PNMA2"	"M1"
"GGT1"	"M1"
"COLEC12"	"M2"
"ALOX15B"	"M1"
"CPVL"	"M2"
"PPP1R1B"	"M1"
"HLA-DQA2"	"M2"
"FAM69B"	"Not.Correlated"
"CDC20"	"M1"
"STEAP2"	"M1"
"GOLGA8B"	"M1"
"TPPP3"	"M1"
"FERMT1"	"Not.Correlated"
"SEMA3B"	"M1"
"KIF11"	"M1"
"DNAH5"	"M1"
"MFAP2"	"M3"
"OXCT1"	"M4"
"FUT3"	"M1"
"AIF1L"	"Not.Correlated"
"PTK6"	"M1"
"IFI44L"	"M2"
"SLC16A4"	"M1"
"QPRT"	"M1"
"ALS2CL"	"M1"
"ADAMTSL4"	"M2"
"CDK6"	"M1"
"CAPN8"	"M1"
"LDOC1"	"M2"
"ERO1LB"	"M1"
"LTF"	"M1"
"FHL1"	"M1"
"GSTM3"	"M1"
"DUSP4"	"M2"
"PSAT1"	"M1"
"SDK1"	"M1"
"LIF"	"Not.Correlated"
"MEX3A"	"M1"
"AURKA"	"M1"
"GCNT3"	"M4"
"C9orf152"	"M1"
"NR4A2"	"M1"
"FOSB"	"M1"
"AASS"	"M1"
"SLC2A10"	"Not.Correlated"
"SCIN"	"Not.Correlated"
"KAL1"	"M1"
"IQGAP3"	"M1"
"CACNA2D2"	"M1"
"SHROOM4"	"M1"
"C5"	"M1"
"MT1E"	"M2"
"HNF1B"	"M1"
"CDCA7"	"M1"
"RECQL4"	"M1"
"KLF4"	"M4"
"COL4A4"	"M1"
"TCF7L1"	"M1"
"CD109"	"M1"
"HMCN1"	"M1"
"EPHA4"	"M1"
"CAMK2N1"	"Not.Correlated"
"LOC84740"	"M1"
"HAS3"	"M1"
"GPR39"	"M1"
"KRT15"	"Not.Correlated"
"SLC29A4"	"M1"
"CMAH"	"M1"
"CAPN12"	"M1"
"SLC26A9"	"M1"
"MMP1"	"M3"
"CDKN2B"	"Not.Correlated"
"PABPC1L"	"Not.Correlated"
"SERPINE2"	"M3"
"ANPEP"	"M2"
"GRHL1"	"Not.Correlated"
"PLEKHG4"	"M4"
"RND1"	"M4"
"ASPN"	"M3"
"IRAK3"	"M1"
"STC1"	"M1"
"DAAM2"	"M1"
"ALDOC"	"M1"
"PTTG1"	"M1"
"ALDH1A3"	"M3"
"QPCT"	"M1"
"C9orf140"	"M1"
"MUC21"	"M1"
"AMOT"	"M1"
"NCALD"	"M1"
"MDFI"	"M1"
"SOX9"	"Not.Correlated"
"CIITA"	"M2"
"CBS"	"M1"
"TSPAN7"	"M4"
"MOSC1"	"M4"
"GREM1"	"M3"
"SLC15A2"	"M1"
"UCHL1"	"M4"
"OSGIN1"	"M4"
"PRSS22"	"Not.Correlated"
"FAM3B"	"Not.Correlated"
"SSC5D"	"M1"
"TMEM163"	"M1"
"TFAP2C"	"Not.Correlated"
"CXCR7"	"M1"
"CAPN13"	"M1"
"FGFR2"	"M1"
"HLA-DRB6"	"M2"
"KCNE3"	"M4"
"HSPB8"	"M1"
"CARD11"	"M1"
"FA2H"	"M4"
"SHC2"	"M1"
"TOX3"	"M1"
"FMO2"	"M1"
"IGF2"	"M3"
"EPHB2"	"M3"
"MYEF2"	"Not.Correlated"
"ASRGL1"	"Not.Correlated"
"UBE2C"	"M1"
"GADD45G"	"M1"
"GPR133"	"M1"
"SIX1"	"M4"
"COL9A2"	"M1"
"BUB1"	"M1"
"HES6"	"M1"
"PLLP"	"M1"
"MYO1G"	"M2"
"NDUFA4L2"	"M1"
"DMKN"	"M1"
"PHGDH"	"M1"
"GGH"	"M1"
"LRFN4"	"M1"
"KCNJ15"	"M1"
"SYBU"	"M1"
"TPD52L1"	"M4"
"BMP2"	"M1"
"SLC16A14"	"M2"
"EDN1"	"M1"
"CHL1"	"M1"
"CHIT1"	"M1"
"CXCL2"	"M1"
"NPAS2"	"Not.Correlated"
"CA12"	"M4"
"TFPI2"	"M4"
"FUT2"	"M1"
"MT1X"	"M1"
"NRGN"	"M1"
"MATN2"	"M1"
"LPAR1"	"M4"
"CCL21"	"Not.Correlated"
"SGPP2"	"M1"
"HP"	"M1"
"HIST1H2BD"	"M1"
"FAP"	"M3"
"CEP55"	"M1"
"UBE2T"	"M1"
"PDPN"	"M3"
"EPN3"	"M2"
"FAM176A"	"M1"
"C11orf9"	"Not.Correlated"
"MANEAL"	"M2"
"B3GNT8"	"M1"
"RICH2"	"M1"
"DUOX1"	"M1"
"CLIC5"	"M1"
"BOP1"	"M1"
"SIGLEC1"	"M2"
"CCNA2"	"M1"
"OLR1"	"M2"
"PDZD2"	"M1"
"CFD"	"M1"
"C7orf68"	"M1"
"KIF20A"	"M1"
"ADM2"	"Not.Correlated"
"TRIP13"	"M1"
"SPINK1"	"M1"
"CDC6"	"M1"
"PLXNB3"	"M3"
"REEP6"	"M1"
"KIFC1"	"M1"
"KIF2C"	"M1"
"ATOH8"	"M1"
"ITGB8"	"M4"
"COMP"	"M1"
"C20orf114"	"M1"
"TPSAB1"	"M1"
"CBLC"	"M4"
"AGER"	"M1"
"ASPM"	"M1"
"TMEM45A"	"M1"
"COL8A2"	"M3"
"PELI2"	"M1"
"CDT1"	"M1"
"GRAMD2"	"M1"
"KIF26B"	"M3"
"PLK1"	"M1"
"ANKRD22"	"M2"
"MARCO"	"M2"
"CHST3"	"M4"
"EFS"	"M4"
"CDCA5"	"M1"
"C21orf63"	"M1"
"PLEKHH2"	"M1"
"HBB"	"M1"
"GBP5"	"M1"
"LEPREL1"	"M1"
"PMAIP1"	"M1"
"RCAN2"	"M1"
"SMOC2"	"M1"
"IL18"	"M2"
"ITGA11"	"M3"
"ADAM28"	"Not.Correlated"
"SALL2"	"M4"
"MGC29506"	"Not.Correlated"
"ANO1"	"M3"
"IDO1"	"M1"
"CCDC64"	"M4"
"CCNB2"	"M1"
"HLA-DQB2"	"M2"
"FOXA2"	"M1"
"GJB2"	"M1"
"IGF2BP2"	"M1"
"SRPX2"	"M3"
"CPAMD8"	"M1"
"INHBB"	"M3"
"RARRES1"	"M1"
"IL33"	"M1"
"MAD2L1"	"M1"
"IQGAP2"	"M1"
"ABAT"	"M1"
"PCSK6"	"Not.Correlated"
"AXIN2"	"M1"
"RGNEF"	"M1"
"HS3ST1"	"M4"
"BAIAP3"	"M1"
"GCNT1"	"Not.Correlated"
"DAPK2"	"M1"
"ADH1B"	"M1"
"HSPA6"	"M1"
"LEPR"	"M1"
"VWA2"	"M1"
"BDKRB2"	"M2"
"NCAPG"	"M1"
"BAG2"	"M4"
"SLC22A17"	"M1"
"SPTB"	"M4"
"FGA"	"M2"
"GPR110"	"M2"
"FOXQ1"	"M1"
"RSAD2"	"M2"
"ECHDC3"	"M1"
"KIAA0101"	"M1"
"VANGL2"	"Not.Correlated"
"KIF4A"	"M1"
"CDCA8"	"M1"
"KIF23"	"M1"
"EPHA1"	"Not.Correlated"
"SEMA5A"	"M1"
"FBXO2"	"M1"
"TMEM92"	"M1"
"PLCB1"	"M2"
"PTGIS"	"M1"
"RRAD"	"M1"
"ASF1B"	"M1"
"PIR"	"M4"
"TPPP"	"M1"
"CACNB1"	"M1"
"CYP2S1"	"M1"
"GSDMB"	"M2"
"PANX2"	"M4"
"SOCS2"	"M1"
"CD36"	"M1"
"GPC3"	"M1"
"CA2"	"M1"
"NOS3"	"M4"
"HEY1"	"Not.Correlated"
"TRNP1"	"Not.Correlated"
"CXCL10"	"M1"
"ACSM3"	"M1"
"PLCD3"	"M1"
"CYP24A1"	"M2"
"BZRAP1"	"M1"
"CACHD1"	"M1"
"UBXN10"	"M1"
"ABCC6"	"M1"
"LARGE"	"M1"
"IPW"	"M1"
"GATM"	"Not.Correlated"
"GINS1"	"M1"
"FNDC1"	"M3"
"PDGFRL"	"M3"
"HKDC1"	"M1"
"SLC16A1"	"M1"
"MAP1A"	"M3"
"NR3C2"	"M1"
"PDE9A"	"M1"
"ARNT2"	"M1"
"TGFB2"	"M1"
"LAMC3"	"M1"
"RNF128"	"M1"
"AQP5"	"M1"
"RAB6B"	"M1"
"METRN"	"M1"
"MAOB"	"M1"
"ANG"	"M4"
"C10orf116"	"M1"
"SEMA4G"	"M4"
"SERPINF2"	"M1"
"RHOV"	"M1"
"BAMBI"	"Not.Correlated"
"FAM83D"	"M1"
"ZNF90"	"Not.Correlated"
"ATP10A"	"M1"
"AZGP1"	"M2"
"ABI3BP"	"M1"
"BIRC5"	"M1"
"ID4"	"M1"
"GABBR1"	"M1"
"DMD"	"M1"
"BUB1B"	"M1"
"TRPC6"	"M1"
"EPHX3"	"M1"
"SLC17A9"	"Not.Correlated"
"CBX2"	"M1"
"PCDH7"	"M3"
"DNAH2"	"M1"
"RAC3"	"M1"
"GPR98"	"M1"
"CHST2"	"Not.Correlated"
"ATP13A4"	"M1"
"KIAA1324L"	"M1"
"DGAT2"	"Not.Correlated"
"XYLT1"	"M3"
"KIF3C"	"M1"
"STEAP1"	"M1"
"ARSE"	"M1"
"WDFY4"	"M1"
"NEK2"	"M1"
"PDLIM4"	"M3"
"SLC1A1"	"M1"
"HJURP"	"M1"
"SCARA3"	"M1"
"BMP3"	"M1"
"SCD5"	"M4"
"GPX2"	"M4"
"GPRIN2"	"M1"
"ENTPD3"	"M1"
"DSEL"	"M1"
"UCK2"	"M1"
"NHS"	"M2"
"RASGRP1"	"M1"
"ZNF737"	"M1"
"SELL"	"M2"
"ESM1"	"M1"
"PRKAR2B"	"M1"
"CDKL2"	"M1"
"GNA14"	"M1"
"CCL20"	"M1"
"DLGAP5"	"M1"
"ZNF43"	"M2"
"EDNRB"	"M1"
"WDR66"	"M4"
"FRZB"	"M1"
"SDCBP2"	"M4"
"ADAM12"	"M3"
"DNAJC12"	"Not.Correlated"
"IL1RN"	"M2"
"KYNU"	"M4"
"RAB38"	"M2"
"CLIC3"	"M1"
"CPA3"	"M1"
"RASEF"	"M1"
"SLC27A2"	"Not.Correlated"
"HSD17B6"	"M1"
"TNIK"	"M1"
"OLFM2"	"M3"
"HMMR"	"M1"
"GALNT5"	"M1"
"KCTD14"	"M2"
"DPT"	"M1"
"LONRF2"	"M1"
"C1orf88"	"M1"
"ADM"	"M1"
"SLCO4C1"	"M1"
"RIMKLA"	"Not.Correlated"
"CELSR3"	"M1"
"RTKN2"	"M1"
"CD79A"	"Not.Correlated"
"ELOVL7"	"M1"
"FREM2"	"M1"
"C14orf132"	"M1"
"CXCL1"	"M3"
"DCLK1"	"M3"
"HLF"	"M1"
"ZNF462"	"M1"
"PPARG"	"M2"
"MYCL1"	"M1"
"COL4A3"	"M1"
"NTN1"	"Not.Correlated"
"STC2"	"M1"
"LTB"	"M2"
"SVEP1"	"M1"
"STX1A"	"M1"
"NBEA"	"M1"
"JPH1"	"M1"
"SETBP1"	"M1"
"IRX2"	"M1"
"C1orf130"	"M1"
"KCNJ8"	"M4"
"PDE3B"	"M2"
"COL5A3"	"M3"
"GYG2"	"M2"
"PLCE1"	"M1"
"UNC5CL"	"M1"
"ADAMTS9"	"M3"
"PID1"	"M1"
"NCAPH"	"M1"
"CPXM2"	"M1"
"FLNC"	"M3"
"TMEM37"	"M1"
"PKMYT1"	"M1"
"EEF1A2"	"Not.Correlated"
"MELK"	"M1"
"CXCL13"	"Not.Correlated"
"TSPAN11"	"M1"
"ETNK2"	"M4"
"FAM171A1"	"Not.Correlated"
"GOLT1A"	"M1"
"NINJ2"	"M1"
"CLEC3B"	"M1"
"PBLD"	"M1"
"METTL7B"	"M1"
"NAPSB"	"M1"
"ZNF204P"	"M1"
"CA13"	"M1"
"ERP27"	"M1"
"MGAT5"	"M3"
"PRKAA2"	"M2"
"TGFBR3"	"M1"
"PPP1R14C"	"M2"
"CRYM"	"M1"
"FGFR4"	"M4"
"GAMT"	"Not.Correlated"
"KCNE4"	"M4"
"FAM111B"	"M1"
"CTAGE9"	"Not.Correlated"
"BCAS1"	"M4"
"SMOX"	"M1"
"C6orf168"	"M1"
"MIAT"	"M1"
"EDIL3"	"M3"
"G0S2"	"M3"
"FAT4"	"M1"
"FRAS1"	"M1"
"GPRIN1"	"M1"
"HSF4"	"M1"
"CDON"	"Not.Correlated"
"PAQR5"	"M1"
"ADSSL1"	"M4"
"PLEKHG6"	"M1"
"SLIT3"	"M1"
"SRCIN1"	"M4"
"ATP6V1C2"	"M2"
"FOLR2"	"M2"
"LYNX1"	"M1"
"ITGA9"	"M1"
"ABP1"	"M4"
"TOX"	"M1"
"H2AFY2"	"M1"
"IRX5"	"M1"
"MUC15"	"M1"
"ARSJ"	"Not.Correlated"
"IL4I1"	"M1"
"ABCC9"	"M1"
"ESYT3"	"M1"
"RPL39L"	"M1"
"ANGPT2"	"M1"
"COL27A1"	"M1"
"S100A2"	"M3"
"KBTBD11"	"M1"
"ACOX2"	"M1"
"CA11"	"M4"
"MMP28"	"M1"
"CLCN4"	"Not.Correlated"
"SMO"	"M1"
"EPHX2"	"M1"
"SLC16A9"	"M1"
"LDHD"	"M1"
"ITIH5"	"M1"
"WTIP"	"M1"
"RAPGEFL1"	"M2"
"CRTAC1"	"M1"
"POU2AF1"	"Not.Correlated"
"ABLIM3"	"M1"
"ZMAT1"	"M1"
"NOSTRIN"	"M1"
"C12orf75"	"M1"
"GINS2"	"M1"
"EMR2"	"M2"
"CCDC68"	"M1"
